timestamp,timestamp_horario_utc,timestamp_horario_utc_diff,Avancado 1S2,Recuado 1S1,V1 12,V1 14,Inicia,Para
1757031344921,2025-09-05 00:15:44.921,117.0,0,1,1,0,0,1
1757031345033,2025-09-05 00:15:45.033,112.0,0,1,1,0,0,1
1757031345268,2025-09-05 00:15:45.268,235.0,0,1,1,0,0,1
1757031345395,2025-09-05 00:15:45.395,127.0,0,1,1,0,0,1
1757031345460,2025-09-05 00:15:45.460,65.0,0,1,1,0,0,1
1757031345596,2025-09-05 00:15:45.596,136.0,0,1,1,0,0,1
1757031345690,2025-09-05 00:15:45.690,94.0,0,1,1,0,0,1
1757031345748,2025-09-05 00:15:45.748,58.0,0,1,0,1,0,1
1757031345825,2025-09-05 00:15:45.825,77.0,0,0,0,1,0,1
1757031345941,2025-09-05 00:15:45.941,116.0,0,0,0,1,0,1
1757031346065,2025-09-05 00:15:46.065,124.0,0,0,0,1,0,1
1757031346179,2025-09-05 00:15:46.179,114.0,1,0,0,1,0,1
1757031346304,2025-09-05 00:15:46.304,125.0,1,0,0,1,0,1
1757031346418,2025-09-05 00:15:46.418,114.0,1,0,0,1,0,1
1757031346534,2025-09-05 00:15:46.534,116.0,1,0,0,1,0,1
1757031346656,2025-09-05 00:15:46.656,122.0,1,0,0,1,0,1
1757031346773,2025-09-05 00:15:46.773,117.0,1,0,0,1,0,1
1757031346887,2025-09-05 00:15:46.887,114.0,1,0,0,1,0,1
1757031347012,2025-09-05 00:15:47.012,125.0,1,0,0,1,0,1
1757031347126,2025-09-05 00:15:47.126,114.0,1,0,1,0,0,1
1757031347252,2025-09-05 00:15:47.252,126.0,0,0,1,0,0,1
1757031347366,2025-09-05 00:15:47.366,114.0,0,0,1,0,0,1
1757031347482,2025-09-05 00:15:47.482,116.0,0,0,1,0,0,1
1757031347605,2025-09-05 00:15:47.605,123.0,0,1,1,0,0,1
1757031347721,2025-09-05 00:15:47.721,116.0,0,1,1,0,0,1
1757031347836,2025-09-05 00:15:47.836,115.0,0,1,1,0,0,1
1757031347960,2025-09-05 00:15:47.960,124.0,0,1,1,0,0,1
1757031348075,2025-09-05 00:15:48.075,115.0,0,1,1,0,0,1
1757031348189,2025-09-05 00:15:48.189,114.0,0,1,1,0,0,1
1757031348314,2025-09-05 00:15:48.314,125.0,0,1,1,0,0,1
1757031348430,2025-09-05 00:15:48.430,116.0,0,1,1,0,0,1
1757031348553,2025-09-05 00:15:48.553,123.0,0,0,0,1,0,1
1757031348668,2025-09-05 00:15:48.668,115.0,0,0,0,1,0,1
1757031348783,2025-09-05 00:15:48.783,115.0,0,0,0,1,0,1
1757031348907,2025-09-05 00:15:48.907,124.0,1,0,0,1,0,1
1757031349024,2025-09-05 00:15:49.024,117.0,1,0,0,1,0,1
1757031349137,2025-09-05 00:15:49.137,113.0,1,0,0,1,0,1
1757031349242,2025-09-05 00:15:49.242,105.0,1,0,0,1,0,1
1757031349365,2025-09-05 00:15:49.365,123.0,1,0,0,1,0,1
1757031349482,2025-09-05 00:15:49.482,117.0,1,0,0,1,0,1
1757031349605,2025-09-05 00:15:49.605,123.0,1,0,0,1,0,1
1757031349721,2025-09-05 00:15:49.721,116.0,1,0,0,1,0,1
1757031349834,2025-09-05 00:15:49.834,113.0,1,0,1,0,0,1
1757031349959,2025-09-05 00:15:49.959,125.0,0,0,1,0,0,1
1757031350073,2025-09-05 00:15:50.073,114.0,0,0,1,0,0,1
1757031350189,2025-09-05 00:15:50.189,116.0,0,0,1,0,0,1
1757031350287,2025-09-05 00:15:50.287,98.0,0,1,1,0,0,1
1757031350412,2025-09-05 00:15:50.412,125.0,0,1,1,0,0,1
1757031350528,2025-09-05 00:15:50.528,116.0,0,1,1,0,0,1
1757031350651,2025-09-05 00:15:50.651,123.0,0,1,1,0,0,1
1757031350869,2025-09-05 00:15:50.869,218.0,0,1,1,0,0,1
1757031351014,2025-09-05 00:15:51.014,145.0,0,1,1,0,0,1
1757031351082,2025-09-05 00:15:51.082,68.0,0,1,1,0,0,1
1757031351223,2025-09-05 00:15:51.223,141.0,0,1,1,0,0,1
1757031351307,2025-09-05 00:15:51.307,84.0,0,1,0,1,0,1
1757031351348,2025-09-05 00:15:51.348,41.0,0,0,0,1,0,1
1757031351458,2025-09-05 00:15:51.458,110.0,0,0,0,1,0,1
1757031351573,2025-09-05 00:15:51.573,115.0,0,0,0,1,0,1
1757031351686,2025-09-05 00:15:51.686,113.0,1,0,0,1,0,1
1757031351813,2025-09-05 00:15:51.813,127.0,1,0,0,1,0,1
1757031351927,2025-09-05 00:15:51.927,114.0,1,0,0,1,0,1
1757031352052,2025-09-05 00:15:52.052,125.0,1,0,0,1,0,1
1757031352167,2025-09-05 00:15:52.167,115.0,1,0,0,1,0,1
1757031352281,2025-09-05 00:15:52.281,114.0,1,0,0,1,0,1
1757031352407,2025-09-05 00:15:52.407,126.0,1,0,0,1,0,1
